date,1. open,2. high,3. low,4. close,5. volume
2020-07-08 18:40:00,1506.0,1506.0,1506.0,1506.0,167.0
2020-07-08 17:56:00,1505.98,1505.98,1505.98,1505.98,202.0
2020-07-08 16:55:00,1505.0,1505.0,1505.0,1505.0,201.0
2020-07-08 16:54:00,1505.0,1505.0,1505.0,1505.0,201.0
2020-07-08 16:17:00,1503.6,1503.6,1503.6,1503.6,501.0
2020-07-08 16:10:00,1501.5,1501.5,1501.0,1501.0,433.0
2020-07-08 16:03:00,1503.6,1503.6,1503.6,1503.6,427.0
2020-07-08 16:01:00,1503.6,1503.6,1503.6,1503.6,58864.0
2020-07-08 16:00:00,1502.43,1503.6,1501.89,1503.155,38789.0
2020-07-08 15:59:00,1502.02,1502.63,1501.75,1502.07,23826.0
2020-07-08 15:58:00,1501.75,1503.11,1501.48,1502.49,23524.0
2020-07-08 15:57:00,1502.42,1503.39,1501.77,1501.94,19932.0
2020-07-08 15:56:00,1503.25,1503.78,1501.86,1502.43,21512.0
2020-07-08 15:55:00,1502.22,1503.77,1501.55,1503.77,24016.0
2020-07-08 15:54:00,1498.89,1502.29,1498.89,1501.28,14377.0
2020-07-08 15:53:00,1498.73,1499.75,1498.15,1498.65,12451.0
2020-07-08 15:52:00,1497.94,1499.37,1497.94,1499.12,7943.0
2020-07-08 15:51:00,1498.43,1499.8,1497.48,1497.825,10023.0
2020-07-08 15:50:00,1499.415,1499.415,1498.23,1498.35,5302.0
2020-07-08 15:49:00,1499.585,1500.3199,1499.06,1499.41,7962.0
2020-07-08 15:48:00,1499.705,1499.7425,1499.11,1499.43,1837.0
2020-07-08 15:47:00,1499.11,1499.955,1499.08,1499.52,6644.0
2020-07-08 15:46:00,1499.025,1499.405,1498.855,1499.24,3240.0
2020-07-08 15:45:00,1499.5,1499.79,1498.44,1499.0,5204.0
2020-07-08 15:44:00,1499.03,1499.49,1498.23,1499.43,7238.0
2020-07-08 15:43:00,1499.345,1499.77,1499.25,1499.28,3064.0
2020-07-08 15:42:00,1498.7426,1499.62,1498.52,1499.62,1677.0
2020-07-08 15:41:00,1498.37,1499.14,1498.37,1498.6825,3092.0
2020-07-08 15:40:00,1498.18,1498.2,1497.78,1497.815,1988.0
2020-07-08 15:39:00,1500.35,1500.46,1498.84,1498.84,5643.0
2020-07-08 15:38:00,1500.64,1501.72,1500.1925,1500.1925,3375.0
2020-07-08 15:37:00,1500.04,1500.48,1499.75,1500.38,5657.0
2020-07-08 15:36:00,1501.42,1501.725,1500.38,1500.38,5399.0
2020-07-08 15:35:00,1500.69,1501.71,1500.42,1501.425,4417.0
2020-07-08 15:34:00,1501.2,1501.21,1500.73,1500.97,2417.0
2020-07-08 15:33:00,1500.56,1501.6899,1500.56,1501.19,2457.0
2020-07-08 15:32:00,1500.65,1500.855,1500.12,1500.56,3145.0
2020-07-08 15:31:00,1499.46,1500.9125,1499.46,1500.9,6898.0
2020-07-08 15:30:00,1499.205,1499.21,1498.735,1498.92,1442.0
